"person","birthYear","interest"
http://dbpedia.org/resource/Carlo_Lottieri,1960,http://dbpedia.org/resource/Philosophy_of_law
http://dbpedia.org/resource/Robert_Nozick,1938,http://dbpedia.org/resource/Epistemology
http://dbpedia.org/resource/Robert_Nozick,1938,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Robert_Nozick,1938,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Roberto_Mangabeira_Unger,1947,http://dbpedia.org/resource/Social_theory
http://dbpedia.org/resource/Bertrand_Russell,1872,http://dbpedia.org/resource/Epistemology
http://dbpedia.org/resource/Bertrand_Russell,1872,http://dbpedia.org/resource/Logic
http://dbpedia.org/resource/Bertrand_Russell,1872,http://dbpedia.org/resource/Bertrand_Russell's_views_on_philosophy
http://dbpedia.org/resource/Bertrand_Russell,1872,http://dbpedia.org/resource/Philosophy
http://dbpedia.org/resource/Bertrand_Russell,1872,http://dbpedia.org/resource/Metaphysics
http://dbpedia.org/resource/David_Lyons_(philosopher),1935,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/David_Lyons_(philosopher),1935,http://dbpedia.org/resource/Moral_philosophy
http://dbpedia.org/resource/David_Lyons_(philosopher),1935,http://dbpedia.org/resource/Philosophy_of_law
http://dbpedia.org/resource/Denis_Lerrer_Rosenfield,1950,http://dbpedia.org/resource/Democracy
http://dbpedia.org/resource/Denis_Lerrer_Rosenfield,1950,http://dbpedia.org/resource/Public_administration
http://dbpedia.org/resource/Denis_Lerrer_Rosenfield,1950,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Denis_Lerrer_Rosenfield,1950,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Denis_Lerrer_Rosenfield,1950,http://dbpedia.org/resource/Politics
http://dbpedia.org/resource/Joseph_Raz,1939,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Joseph_Raz,1939,http://dbpedia.org/resource/Legal_philosophy
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Romanticism
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Social_philosophy
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Modernity
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Basque_literature
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Age_of_Enlightenment
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Philosophical_anthropology
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Rationalism
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Nationalism
http://dbpedia.org/resource/Joxe_Azurmendi,1941,http://dbpedia.org/resource/Philosophy_of_language
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Psychoanalysis
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Gender_theory
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Embodied_cognition
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Feminist_theory
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Phenomenology_(philosophy)
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Jewish_philosophy
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Discourse
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Judith_Butler,1956,http://dbpedia.org/resource/Human_sexuality
http://dbpedia.org/resource/Paul_Virilio,1932,http://dbpedia.org/resource/Philosophy_of_Technology
http://dbpedia.org/resource/Paul_Virilio,1932,http://dbpedia.org/resource/Aesthetics
http://dbpedia.org/resource/Paul_Virilio,1932,http://dbpedia.org/resource/Urbanism
http://dbpedia.org/resource/Peter_Kropotkin,1842,http://dbpedia.org/resource/Geography
http://dbpedia.org/resource/Peter_Kropotkin,1842,http://dbpedia.org/resource/Economics
http://dbpedia.org/resource/Peter_Kropotkin,1842,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/Peter_Kropotkin,1842,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Peter_Kropotkin,1842,http://dbpedia.org/resource/Darwinian_theory
http://dbpedia.org/resource/Peter_Kropotkin,1842,http://dbpedia.org/resource/Political_history
http://dbpedia.org/resource/Peter_Singer,1946,http://dbpedia.org/resource/Applied_ethics
http://dbpedia.org/resource/Peter_Singer,1946,http://dbpedia.org/resource/Bioethics
http://dbpedia.org/resource/Ricardo_Forster,1957,http://dbpedia.org/resource/History_of_ideas
http://dbpedia.org/resource/Ricardo_Forster,1957,http://dbpedia.org/resource/Philosophy_of_history
http://dbpedia.org/resource/Ricardo_Forster,1957,http://dbpedia.org/resource/Political_science
http://dbpedia.org/resource/Richard_Velkley,1949,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/Richard_Velkley,1949,http://dbpedia.org/resource/Post-Kantian_philosophy
http://dbpedia.org/resource/Vojin_Rakić,1967,http://dbpedia.org/resource/Ethics
http://dbpedia.org/resource/David_O._Brink,1958,http://dbpedia.org/resource/Political_philosophy
http://dbpedia.org/resource/David_O._Brink,1958,http://dbpedia.org/resource/Moral_philosophy
